"Data Source","World Development Indicators",

"Last Updated Date","2026-07-13",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Aruba","ABW","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","60.746","61.114","61.371","61.601","61.824","62.047","62.582","62.761","63.086","63.419","63.737","64.053","64.482","64.865","65.263","65.452","65.76","66.1","66.411","66.748","67.176","67.866","68.049","68.224","68.351","68.452","68.506","69.349","69.476","69.518","69.543","69.589","69.724","69.813","69.827","69.87","69.895","69.963","69.996","70.063","70.149","70.251","70.364","70.488","70.487","70.741","70.791","70.93","71.058","71.201","70.997","71.378","71.685","72.043","72.245","72.496","72.691","72.802","72.88","73.047","72.344","70.794","73.537","73.702","73.845","",
"Africa Eastern and Southern","AFE","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","42.4489094332074","42.68145328912","43.1176906621501","43.341701762906","43.6823421178983","43.8914661953029","43.9683115395916","44.5711977593315","44.8518918416598","45.0836480203974","45.3366543217966","45.5271807411835","45.2376211509467","45.8598539857757","45.8772180634704","46.1280330173293","46.6127371225436","46.8628872354588","46.8742661627235","47.3236741112407","47.7203313513449","47.8908746723966","48.12071346633","46.8255697863284","46.8167370256573","47.2416790995887","47.8553287314505","48.9398518164193","48.7925637600196","49.1497478620646","48.9989871868286","48.9437643827919","48.8672170114989","49.1993224396395","49.2041382804157","49.717515458194","49.5685294151403","49.8204675939585","49.4418804209147","49.9085052836855","50.9944190253978","51.3516267184703","51.657020553016","52.1561544454851","52.6281871032442","53.2359400849153","54.1051209050632","54.814627990305","55.4490182499603","56.2476433261999","56.9091086742041","57.2097224194599","58.1647786784789","58.7090247175859","58.9540014626708","59.3596262003812","59.7322202554864","60.1068179984222","60.7963943845385","61.2892641016886","61.0480928237576","60.3518738190411","61.7659073397","62.3955788157159","62.5887763514898","",
"Afghanistan","AFG","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","32.136","32.626","33.098","33.543","34.004","34.438","34.877","35.324","35.825","36.287","36.748","37.202","37.681","38.213","38.734","39.261","39.787","40.363","38.855","37.09","37.428","37.433","33.251","33.599","27.823","28.393","35.27","35.601","40.742","42.132","42.712","42.959","43.765","49.755","48.883","50.536","51.26","51.725","50.636","53.102","53.463","53.941","54.986","55.849","56.519","56.88","56.974","57.122","57.984","58.681","59.097","59.625","60.099","60.534","60.495","60.363","60.661","59.388","59.175","59.91","58.455","57.052","63.941","64.467","64.704","",
"Africa Western and Central","AFW","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","35.9256733442901","36.181219365626","37.031000071193","37.2674017300475","37.503830837723","37.7778137919407","38.0329498886908","37.6733251085091","38.4490639782084","38.7852372253093","39.7423334370296","40.1914032173682","40.7616843934825","41.2374738060994","41.7803449284714","42.2478234667764","43.2886668256516","43.8996639008292","44.3871473515287","44.8079362475325","45.1390065843124","45.491054060025","45.7714378427576","46.0254006086133","46.1974178716183","46.364128861077","46.5180757289455","46.6020802301555","46.9141898195483","47.0589532267989","46.9965044680341","47.1211331740298","47.2967791589645","47.4238880241378","47.4289756941723","47.6462829733405","47.7965783298506","47.929272473941","48.3038074362417","48.7221695245461","49.2761479871759","49.7599167167618","50.2675906774014","50.7664354624442","51.3268645024371","51.6885871018262","52.0920303657757","52.5824638675596","53.033338708734","52.9156518588488","53.6659353309669","54.0474210601277","54.3782329688759","54.6011346153686","54.7046463326635","55.0867804878615","55.4590906240544","55.6516893572401","56.0562963899653","56.1340763727003","56.2084205675318","56.2851843739497","56.8928714036977","57.7398248286738","57.9122900842318","",
"Angola","AGO","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","36.248","34.266","34.489","34.72","34.996","35.236","35.48","35.849","36.18","36.559","36.908","37.316","37.701","38.143","38.531","37.936","37.882","38.312","38.7","39.062","39.411","39.738","40.054","38.923","39.213","39.48","39.759","37.441","38.234","38.468","38.639","40.991","39.243","38.227","39.819","44.145","44.457","44.716","42.954","42.799","43.963","44.162","45.446","48.258","49.17","50.203","51.107","52.345","53.386","54.308","55.253","55.976","56.677","57.404","58.068","58.68","59.237","59.727","60.199","60.609","60.509","60.498","61.748","62.099","62.275","",
"Albania","ALB","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","54.005","55.028","56","56.938","57.824","58.677","59.543","60.364","61.151","61.888","62.581","63.246","63.87","64.442","64.954","65.425","65.861","66.271","66.625","66.828","67.04","67.21","67.441","67.658","67.867","68.115","68.437","68.727","68.94","69.174","69.412","69.705","70.014","70.38","70.566","70.734","70.798","69.866","71.092","71.405","71.804","72.204","72.529","72.864","73.242","73.663","74.183","74.922","75.531","75.842","75.825","75.792","75.66","75.666","75.83","76.281","76.662","76.997","77.448","77.834","75.429","74.742","76.751","77.728","77.924","",
"Andorra","AND","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","69.109","69.454","69.735","69.924","70.175","70.386","70.583","70.741","70.934","71.111","71.353","71.583","71.855","72.084","72.311","72.514","72.787","73.054","73.357","73.663","73.956","74.199","74.403","74.548","74.654","74.719","74.79","74.845","75.033","75.281","75.815","76.367","77.021","77.549","78.071","78.207","78.392","78.479","78.577","78.856","79.353","79.778","80.266","80.734","80.99","81.24","81.501","81.676","81.846","82.037","82.138","82.188","82.271","82.361","82.493","82.581","82.569","82.462","82.359","82.183","75.823","80.216","82.083","82.1","82.258","",
"Arab World","ARB","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","42.8501271679696","43.5584048880517","44.0050794427214","45.2233084559944","45.8305521952465","46.3503970170731","46.8403699355094","47.2631144851069","47.8749061066453","48.3332604928946","48.8985904402013","49.5730929132715","50.1535626279034","50.4166209938542","51.0968437466385","51.4925461329872","52.0467105034001","53.3204850426133","53.9771685169469","54.6909279584813","54.9886905964988","55.4001516146576","55.647210401928","56.5229871331161","57.2418116867819","57.9209395178193","58.7465568986333","59.5920951826421","59.5603825738823","60.3293373166199","60.7761085700659","61.0130843722328","61.8538913756103","62.8079102254785","62.9752366680023","63.3350015481265","63.6782428484716","64.0240120322419","64.3661813677298","64.7678718242365","65.1035228590404","65.4399958606964","65.7647970315847","65.7276390812222","65.7385509910516","66.0587941655732","66.4978272823976","66.938735382173","67.4289051787858","67.9815560824575","68.0867163560141","67.6333118737387","67.9774202233983","68.3082827049739","68.6805940937024","68.7461411770389","68.9238176164596","69.2158730753137","69.5542150183664","69.9949845060568","68.746082617071","68.62546503757","70.0300988667435","70.6194366255104","70.8956021663427","",
"United Arab Emirates","ARE","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","48.027","48.999","49.97","50.951","51.968","53.035","54.109","55.234","56.373","57.503","58.604","59.656","60.648","61.579","62.45","63.263","64.021","64.725","65.376","65.973","66.518","67.011","67.456","67.857","68.218","68.543","68.835","69.096","69.326","69.519","69.671","69.78","69.84","69.87","69.952","70.18","70.65","71.451","72.617","74.006","75.437","76.768","77.915","78.825","79.518","80.035","80.42","80.708","80.918","81.063","81.157","81.215","81.249","81.272","81.298","81.333","81.378","81.434","81.504","81.588","80.797","77.872","79.381","81.978","82.168","",
"Argentina","ARG","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","61.202","61.526","61.474","61.65","61.609","61.783","62.157","62.126","61.779","61.553","62.165","62.21","62.517","62.671","62.808","63.367","63.406","63.944","64.535","65.072","65.282","65.455","65.559","66.002","66.054","66.474","66.852","67.256","67.632","68.008","68.347","68.681","68.691","68.892","69.501","69.521","69.656","69.95","69.935","70.263","70.498","70.637","70.704","70.796","71.5","71.767","72.021","71.574","72.192","72.449","72.542","72.739","72.851","72.963","73.303","73.367","73.044","73.791","73.951","74.163","72.981","71.113","73.249","74.805","74.976","",
