No,Filename,Width,Height,AspectRatio,PixelAspectRatio,SourceDisplayRatio,RatioSource,Format,HasTransparentPixels,UsageCount,DisplayRatioVariants,AssetKind,SvgRenderable,PptxNativeSupported,SizeKB,Category
1,elem_bailu.png,338,316,1.07,1.07,,native,PNG,True,1,,bitmap,True,True,125.0,Near square
2,elem_chunfen.png,251,305,0.82,0.82,,native,PNG,True,1,,bitmap,True,True,90.3,Near square
3,elem_chushu.png,360,310,1.16,1.16,,native,PNG,True,1,,bitmap,True,True,140.8,Near square
4,elem_dahan.png,314,309,1.02,1.02,,native,PNG,True,1,,bitmap,True,True,118.6,Near square
5,elem_dashu.png,286,323,0.89,0.89,,native,PNG,True,1,,bitmap,True,True,125.2,Near square
6,elem_daxue.png,317,295,1.07,1.07,,native,PNG,True,1,,bitmap,True,True,123.5,Near square
7,elem_dongzhi.png,311,288,1.08,1.08,,native,PNG,True,1,,bitmap,True,True,111.4,Near square
8,elem_guyu.png,309,294,1.05,1.05,,native,PNG,True,1,,bitmap,True,True,130.6,Near square
9,elem_hanlu.png,324,248,1.31,1.31,,native,PNG,True,1,,bitmap,True,True,119.5,Standard landscape
10,elem_jingzhe.png,309,310,1.00,1.00,,native,PNG,True,1,,bitmap,True,True,139.8,Near square
11,elem_lichun.png,310,308,1.01,1.01,,native,PNG,True,1,,bitmap,True,True,136.3,Near square
12,elem_lidong.png,336,274,1.23,1.23,,native,PNG,True,1,,bitmap,True,True,130.1,Standard landscape
13,elem_liqiu.png,337,315,1.07,1.07,,native,PNG,True,1,,bitmap,True,True,130.7,Near square
14,elem_lixia.png,314,312,1.01,1.01,,native,PNG,True,1,,bitmap,True,True,131.9,Near square
15,elem_mangzhong.png,312,317,0.98,0.98,,native,PNG,True,1,,bitmap,True,True,152.4,Near square
16,elem_qingming.png,308,308,1.00,1.00,,native,PNG,True,1,,bitmap,True,True,138.0,Near square
17,elem_qiufen.png,337,333,1.01,1.01,,native,PNG,True,1,,bitmap,True,True,138.5,Near square
