年份,推估情境,性別,年齡,統計值(人),結構比(%)
1980,中推估,總計,總計,17866008,100.0
1980,中推估,總計,0-4歲,1997423,11.18
1980,中推估,總計,5-9歲,1818311,10.18
1980,中推估,總計,10-14歲,1923514,10.77
1980,中推估,總計,15-19歲,2007132,11.23
1980,中推估,總計,20-24歲,1921838,10.76
1980,中推估,總計,25-29歲,1735025,9.71
1980,中推估,總計,30-34歲,1174823,6.58
1980,中推估,總計,35-39歲,907198,5.08
1980,中推估,總計,40-44歲,886526,4.96
1980,中推估,總計,45-49歲,817873,4.58
1980,中推估,總計,50-54歲,811082,4.54
1980,中推估,總計,55-59歲,645616,3.61
1980,中推估,總計,60-64歲,453507,2.54
1980,中推估,總計,65-69歲,351496,1.97
1980,中推估,總計,70-74歲,218156,1.22
1980,中推估,總計,75-79歲,119029,0.67
1980,中推估,總計,80-84歲,53811,0.3
1980,中推估,總計,85-89歲,18243,0.1
1980,中推估,總計,90-94歲,5405,0.03
1980,中推估,總計,95-99歲,,
1980,中推估,總計,100歲以上,,
1980,中推估,男性,總計,9320105,100.0
1980,中推估,男性,0-4歲,1031881,11.07
1980,中推估,男性,5-9歲,935627,10.04
1980,中推估,男性,10-14歲,989923,10.62
1980,中推估,男性,15-19歲,1028905,11.04
1980,中推估,男性,20-24歲,983464,10.55
1980,中推估,男性,25-29歲,887073,9.52
1980,中推估,男性,30-34歲,603824,6.48
1980,中推估,男性,35-39歲,466043,5.0
1980,中推估,男性,40-44歲,451844,4.85
1980,中推估,男性,45-49歲,438471,4.7
1980,中推估,男性,50-54歲,482632,5.18
1980,中推估,男性,55-59歲,382148,4.1
1980,中推估,男性,60-64歲,258184,2.77
1980,中推估,男性,65-69歲,191160,2.05
1980,中推估,男性,70-74歲,106484,1.14
1980,中推估,男性,75-79歲,53474,0.57
1980,中推估,男性,80-84歲,21252,0.23
1980,中推估,男性,85-89歲,6289,0.07
1980,中推估,男性,90-94歲,1427,0.02
1980,中推估,男性,95-99歲,,
1980,中推估,男性,100歲以上,,
1980,中推估,女性,總計,8545903,100.0
1980,中推估,女性,0-4歲,965542,11.3
1980,中推估,女性,5-9歲,882684,10.33
1980,中推估,女性,10-14歲,933591,10.92
1980,中推估,女性,15-19歲,978227,11.45
1980,中推估,女性,20-24歲,938374,10.98
1980,中推估,女性,25-29歲,847952,9.92
1980,中推估,女性,30-34歲,570999,6.68
1980,中推估,女性,35-39歲,441155,5.16
1980,中推估,女性,40-44歲,434682,5.09
1980,中推估,女性,45-49歲,379402,4.44
1980,中推估,女性,50-54歲,328450,3.84
1980,中推估,女性,55-59歲,263468,3.08
1980,中推估,女性,60-64歲,195323,2.29
1980,中推估,女性,65-69歲,160336,1.88
1980,中推估,女性,70-74歲,111672,1.31
1980,中推估,女性,75-79歲,65555,0.77
1980,中推估,女性,80-84歲,32559,0.38
1980,中推估,女性,85-89歲,11954,0.14
1980,中推估,女性,90-94歲,3978,0.05
1980,中推估,女性,95-99歲,,
1980,中推估,女性,100歲以上,,
2026,中推估,總計,總計,23190536,100.0
2026,中推估,總計,0-4歲,621669,2.68
2026,中推估,總計,5-9歲,884343,3.81
2026,中推估,總計,10-14歲,1070856,4.62
2026,中推估,總計,15-19歲,965201,4.16
2026,中推估,總計,20-24歲,1100785,4.75
2026,中推估,總計,25-29歲,1425244,6.15
2026,中推估,總計,30-34歲,1598521,6.89
2026,中推估,總計,35-39歲,1596767,6.89
2026,中推估,總計,40-44歲,1777730,7.67
2026,中推估,總計,45-49歲,1992178,8.59
2026,中推估,總計,50-54歲,1785555,7.7
2026,中推估,總計,55-59歲,1747910,7.54
2026,中推估,總計,60-64歲,1766154,7.62
2026,中推估,總計,65-69歲,1618102,6.98
2026,中推估,總計,70-74歲,1373814,5.92
2026,中推估,總計,75-79歲,915422,3.95
2026,中推估,總計,80-84歲,466117,2.01
2026,中推估,總計,85-89歲,314118,1.35
2026,中推估,總計,90-94歲,128254,0.55
2026,中推估,總計,95-99歲,36099,0.16
2026,中推估,總計,100歲以上,5697,0.02
2026,中推估,男性,總計,11393147,100.0
2026,中推估,男性,0-4歲,321594,2.82
2026,中推估,男性,5-9歲,457548,4.02
2026,中推估,男性,10-14歲,554299,4.87
2026,中推估,男性,15-19歲,502236,4.41
2026,中推估,男性,20-24歲,574192,5.04
2026,中推估,男性,25-29歲,739261,6.49
2026,中推估,男性,30-34歲,824394,7.24
2026,中推估,男性,35-39歲,819757,7.2
2026,中推估,男性,40-44歲,882142,7.74
2026,中推估,男性,45-49歲,975114,8.56
2026,中推估,男性,50-54歲,865531,7.6
2026,中推估,男性,55-59歲,846969,7.43
2026,中推估,男性,60-64歲,847569,7.44
2026,中推估,男性,65-69歲,763869,6.7
2026,中推估,男性,70-74歲,633514,5.56
2026,中推估,男性,75-79歲,408835,3.59
2026,中推估,男性,80-84歲,195210,1.71
2026,中推估,男性,85-89歲,119694,1.05
2026,中推估,男性,90-94歲,44980,0.39
2026,中推估,男性,95-99歲,13995,0.12
2026,中推估,男性,100歲以上,2444,0.02
2026,中推估,女性,總計,11797389,100.0
2026,中推估,女性,0-4歲,300075,2.54
2026,中推估,女性,5-9歲,426795,3.62
2026,中推估,女性,10-14歲,516557,4.38
2026,中推估,女性,15-19歲,462965,3.92
2026,中推估,女性,20-24歲,526593,4.46
2026,中推估,女性,25-29歲,685983,5.81
2026,中推估,女性,30-34歲,774127,6.56
2026,中推估,女性,35-39歲,777010,6.59
2026,中推估,女性,40-44歲,895588,7.59
2026,中推估,女性,45-49歲,1017064,8.62
2026,中推估,女性,50-54歲,920024,7.8
2026,中推估,女性,55-59歲,900941,7.64
2026,中推估,女性,60-64歲,918585,7.79
2026,中推估,女性,65-69歲,854233,7.24
2026,中推估,女性,70-74歲,740300,6.28
2026,中推估,女性,75-79歲,506587,4.29
2026,中推估,女性,80-84歲,270907,2.3
2026,中推估,女性,85-89歲,194424,1.65
2026,中推估,女性,90-94歲,83274,0.71
2026,中推估,女性,95-99歲,22104,0.19
2026,中推估,女性,100歲以上,3253,0.03
2075,中推估,總計,總計,12148975,100.0
2075,中推估,總計,0-4歲,169290,1.39
2075,中推估,總計,5-9歲,192650,1.59
2075,中推估,總計,10-14歲,222925,1.83
2075,中推估,總計,15-19歲,266905,2.2
2075,中推估,總計,20-24歲,305971,2.52
2075,中推估,總計,25-29歲,325612,2.68
2075,中推估,總計,30-34歲,335814,2.76
2075,中推估,總計,35-39歲,363091,2.99
2075,中推估,總計,40-44歲,415810,3.42
2075,中推估,總計,45-49歲,473877,3.9
2075,中推估,總計,50-54歲,707264,5.82
2075,中推估,總計,55-59歲,919938,7.57
2075,中推估,總計,60-64歲,1019843,8.39
2075,中推估,總計,65-69歲,912089,7.51
2075,中推估,總計,70-74歲,1030698,8.48
2075,中推估,總計,75-79歲,1238849,10.2
2075,中推估,總計,80-84歲,1172443,9.65
2075,中推估,總計,85-89歲,923875,7.6
2075,中推估,總計,90-94歲,705145,5.8
2075,中推估,總計,95-99歲,342132,2.82
2075,中推估,總計,100歲以上,104754,0.86
2075,中推估,男性,總計,5648399,100.0
2075,中推估,男性,0-4歲,93298,1.65
2075,中推估,男性,5-9歲,107006,1.89
2075,中推估,男性,10-14歲,122930,2.18
2075,中推估,男性,15-19歲,145306,2.57
2075,中推估,男性,20-24歲,164513,2.91
2075,中推估,男性,25-29歲,172091,3.05
2075,中推估,男性,30-34歲,172587,3.06
2075,中推估,男性,35-39歲,182015,3.22
2075,中推估,男性,40-44歲,206486,3.66
2075,中推估,男性,45-49歲,235440,4.17
2075,中推估,男性,50-54歲,352449,6.24
2075,中推估,男性,55-59歲,457469,8.1
2075,中推估,男性,60-64歲,501676,8.88
2075,中推估,男性,65-69歲,442973,7.84
2075,中推估,男性,70-74歲,491651,8.7
2075,中推估,男性,75-79歲,572249,10.13
2075,中推估,男性,80-84歲,513868,9.1
2075,中推估,男性,85-89歲,367337,6.5
2075,中推估,男性,90-94歲,232569,4.12
2075,中推估,男性,95-99歲,92257,1.63
2075,中推估,男性,100歲以上,22229,0.39
2075,中推估,女性,總計,6500576,100.0
2075,中推估,女性,0-4歲,75992,1.17
2075,中推估,女性,5-9歲,85644,1.32
2075,中推估,女性,10-14歲,99995,1.54
2075,中推估,女性,15-19歲,121599,1.87
2075,中推估,女性,20-24歲,141458,2.18
2075,中推估,女性,25-29歲,153521,2.36
2075,中推估,女性,30-34歲,163227,2.51
2075,中推估,女性,35-39歲,181076,2.79
2075,中推估,女性,40-44歲,209324,3.22
2075,中推估,女性,45-49歲,238437,3.67
2075,中推估,女性,50-54歲,354815,5.46
2075,中推估,女性,55-59歲,462469,7.11
2075,中推估,女性,60-64歲,518167,7.97
2075,中推估,女性,65-69歲,469116,7.22
2075,中推估,女性,70-74歲,539047,8.29
2075,中推估,女性,75-79歲,666600,10.25
2075,中推估,女性,80-84歲,658575,10.13
2075,中推估,女性,85-89歲,556538,8.56
2075,中推估,女性,90-94歲,472576,7.27
2075,中推估,女性,95-99歲,249875,3.84
2075,中推估,女性,100歲以上,82525,1.27
